city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key
Abatiá,paranaense,7241,7233,31.66,893,2.2,,41039.39,94.88,0.0,ABATIA
Adrianópolis,paranaense,6256,6319,4.64,1465,2.6,,74669.0,99.64,0.0,ADRIANOPOLIS
Agudos do Sul,paranaense,10233,10770,53.22,1511,1.9,29.85,27302.69,98.51,0.0,AGUDOS DO SUL
Almirante Tamandaré,paranaense,119825,125861,616.93,19526,2.0,6.57,18715.79,98.36,0.0,ALMIRANTE TAMANDARE
Altamira do Paraná,paranaense,3590,3496,9.28,561,2.1,21.28,32175.22,99.6,0.0,ALTAMIRA DO PARANA
Alto Paraíso,paranaense,3055,3067,3.16,665,2.5,,48366.68,100.0,0.0,ALTO PARAISO
Alto Paraná,paranaense,13909,14183,34.11,3025,2.0,24.84,40453.42,99.69,0.0,ALTO PARANA
Alto Piquiri,paranaense,9727,9771,21.73,1341,2.4,16.0,50230.67,99.04,0.0,ALTO PIQUIRI
Altônia,paranaense,18742,18634,28.33,3960,1.8,4.9,29153.82,98.08,5.3,ALTONIA
Alvorada do Sul,paranaense,10326,10481,24.34,2096,2.1,10.53,42266.4,99.3,0.0,ALVORADA DO SUL
Amaporã,paranaense,4762,4688,12.38,659,2.3,,34418.01,97.91,105.6,AMAPORA
Ampére,paranaense,19620,20337,65.76,6901,1.9,18.12,51028.26,94.47,9.9,AMPERE
Anahy,paranaense,2918,2971,28.36,656,1.7,96.77,42605.49,98.9,0.0,ANAHY
Andirá,paranaense,19878,19989,84.25,5575,2.1,9.17,43322.9,99.54,184.6,ANDIRA
Ângulo,paranaense,3235,3357,30.51,783,2.2,25.64,55572.79,100.0,0.0,ANGULO
Antonina,paranaense,18091,18140,20.29,3709,2.2,20.62,55368.68,99.12,11.0,ANTONINA
Antônio Olinto,paranaense,7018,7048,14.94,830,2.2,14.49,40269.4,99.59,0.0,ANTONIO OLINTO
Apucarana,paranaense,130134,134910,233.64,48586,2.0,9.68,37146.42,99.57,88.6,APUCARANA
Arapongas,paranaense,119138,124838,311.7,49622,2.2,11.5,47973.54,96.34,53.3,ARAPONGAS
Arapoti,paranaense,25777,26325,18.98,8243,2.4,19.83,63347.91,99.38,34.2,ARAPOTI
Arapuã,paranaense,3527,3573,16.23,504,2.2,23.81,43743.99,100.0,0.0,ARAPUA
Araruna,paranaense,14485,14894,29.37,3627,2.2,17.65,43548.25,99.36,6.7,ARARUNA
Araucária,paranaense,151666,162247,323.22,62589,3.2,9.46,224671.66,99.26,21.2,ARAUCARIA
Ariranha do Ivaí,paranaense,2329,2351,9.95,368,2.3,35.71,62246.84,100.0,0.0,ARIRANHA DO IVAI
Assaí,paranaense,13797,13477,31.33,3417,1.8,,46183.5,97.56,7.3,ASSAI
Assis Chateaubriand,paranaense,36808,38357,37.53,12090,2.0,13.73,55252.41,99.74,157.5,ASSIS CHATEAUBRIAND
Astorga,paranaense,25475,26203,58.59,7645,1.9,17.01,45723.88,98.28,3.8,ASTORGA
Atalaia,paranaense,3980,4046,28.91,948,2.2,32.26,64007.95,98.9,0.0,ATALAIA
Balsa Nova,paranaense,13395,13867,38.39,4817,2.6,6.54,97201.65,99.25,0.0,BALSA NOVA
Bandeirantes,paranaense,31273,31747,70.25,9623,2.0,2.8,43559.41,99.78,188.6,BANDEIRANTES
Barbosa Ferraz,paranaense,10795,10580,20.04,1791,2.0,16.26,31695.71,97.97,0.0,BARBOSA FERRAZ
Barra do Jacaré,paranaense,2814,2872,24.29,449,2.0,,66502.51,100.0,0.0,BARRA DO JACARE
Barracão,paranaense,9759,9903,60.53,3273,2.0,16.53,33128.04,100.0,0.0,BARRACAO
Bela Vista da Caroba,paranaense,4031,4122,27.22,501,2.1,,31281.27,98.78,0.0,BELA VISTA DA CAROBA
Bela Vista do Paraíso,paranaense,14833,14982,61.12,3446,1.9,10.64,38026.96,96.56,6.7,BELA VISTA DO PARAISO
Bituruna,paranaense,15533,15650,12.58,4816,2.0,7.72,42256.96,98.35,19.1,BITURUNA
Boa Esperança,paranaense,4558,4595,15.06,832,2.5,24.39,75237.05,96.74,0.0,BOA ESPERANCA
Boa Esperança do Iguaçu,paranaense,2455,2421,16.17,497,2.2,34.48,67222.53,100.0,0.0,BOA ESPERANCA DO IGUACU
Boa Ventura de São Roque,paranaense,6378,6241,10.28,1404,2.5,11.76,72838.58,99.8,0.0,BOA VENTURA DE SAO ROQUE
Boa Vista da Aparecida,paranaense,7924,8023,29.77,1546,1.8,9.01,28071.29,98.22,273.8,BOA VISTA DA APARECIDA
Bocaiúva do Sul,paranaense,13299,13405,16.11,3828,2.3,5.81,22971.54,98.99,7.2,BOCAIUVA DO SUL
Bom Jesus do Sul,paranaense,3980,4072,22.6,841,1.9,,35783.31,100.0,0.0,BOM JESUS DO SUL
Bom Sucesso,paranaense,6581,6674,20.39,1117,1.8,37.5,33681.51,99.14,0.0,BOM SUCESSO
Bom Sucesso do Sul,paranaense,3202,3244,16.34,990,2.4,,103530.68,100.0,0.0,BOM SUCESSO DO SUL
Borrazópolis,paranaense,7735,7818,23.13,1434,1.9,13.7,38327.77,100.0,0.0,BORRAZOPOLIS
Braganey,paranaense,4854,4745,14.14,898,2.2,,53771.59,100.0,0.0,BRAGANEY
Brasilândia do Sul,paranaense,3708,3861,12.74,610,2.4,,80537.86,99.18,0.0,BRASILANDIA DO SUL
Cafeara,paranaense,2627,2648,14.14,316,3.0,,46262.76,98.89,0.0,CAFEARA
Cafelândia,paranaense,18997,20145,69.1,12368,2.4,3.36,142008.42,99.11,35.3,CAFELANDIA
