city_official,rh_records,active_records,average_remuneration_brl,median_remuneration_brl,p90_remuneration_brl,female_share_pct,avg_age,inactive_records,active_share_pct,city,demonym,population_last_census,population_estimated,population_density,formal_jobs,formal_jobs_avg_salary_min_wage,infant_mortality_per_thousand,gdp_per_capita_brl,school_attendance_6_14_pct,diarrhea_hospitalizations_per_100k,city_key,rh_records_per_1k_est_pop
Curitiba,123113,27558,2391.2633918171405,0.0,8748.0,57.62592090193562,46.464194041004646,95555,22.384313598076563,Curitiba,paranaense,1773718,1830795,4078.53,1227816,3.6,7.9,67691.3,98.48,31.9,CURITIBA,67.2456501137484
Londrina,35948,10520,3292.1662086903307,0.0,11402.116999999998,60.71825970846779,45.77762323355959,25428,29.264493156782017,Londrina,paranaense,555965,581382,336.42,242760,2.6,11.81,50362.05,98.47,24.1,LONDRINA,61.83197966225305
Cascavel,24590,7350,3190.6506209841396,0.0,10806.212000000005,67.94225294835299,43.26605392655252,17240,29.890199267995122,Cascavel,paranaense,348051,368195,166.44,159376,2.5,11.24,55176.33,99.15,15.4,CASCAVEL,66.78526324366165
Maringá,24299,7574,3842.529749372402,0.0,12828.28,60.83789456356229,45.714967694143795,16725,31.170006996172685,Maringá,paranaense,409657,429660,841.16,241694,2.7,10.82,67903.99,99.3,12.2,MARINGA,56.55401945724527
Ponta Grossa,20520,5920,2877.9084390838207,0.0,9649.32,64.88304093567251,44.89152046783626,14600,28.84990253411306,Ponta Grossa,paranaense,358371,375632,174.41,131282,2.5,7.78,71387.82,99.12,1.6,PONTA GROSSA,54.62793372236657
Guarapuava,12780,3804,3110.8794381846633,0.0,10453.815000000002,64.13928012519563,42.76921270934419,8976,29.765258215962444,Guarapuava,paranaense,182093,189630,57.48,62767,2.6,14.25,54170.74,98.85,53.0,GUARAPUAVA,67.39439962031324
Foz do Iguaçu,12489,2795,1748.2426159019938,0.0,7841.864000000007,63.85619345023621,43.4523981103371,9694,22.379694130835134,Foz do Iguaçu,paranaense,285415,297352,468.51,94107,2.7,9.26,59468.67,98.28,45.0,FOZ DO IGUACU,42.00072641179477
São José dos Pinhais,10595,2297,1620.6035431807456,0.0,6892.4500000000035,68.43794242567249,42.69787635677206,8298,21.680037753657384,São José dos Pinhais,paranaense,329628,349880,348.28,146637,3.1,7.8,103019.05,99.06,6.7,SAO JOSE DOS PINHAIS,30.281810906596547
Paranaguá,10031,2729,2856.431070680889,0.0,9636.32,62.80530355896721,44.93320705811983,7302,27.205662446416113,Paranaguá,paranaense,145829,150104,177.23,51567,2.7,7.66,104860.51,98.86,16.0,PARANAGUA,66.82699994670362
Toledo,7771,1660,1689.7528979539313,0.0,7691.3,71.16201261098958,42.94505211684468,6111,21.36147214000772,Toledo,paranaense,150470,160701,125.6,78919,2.3,8.81,63192.47,99.68,30.3,TOLEDO,48.356886391497255
Apucarana,7180,1578,2033.837160167131,0.0,8026.214000000005,66.90807799442896,44.27158774373259,5602,21.977715877437326,Apucarana,paranaense,130134,134910,233.64,48586,2.0,9.68,37146.42,99.57,88.6,APUCARANA,53.22066562893781
Paranavaí,7133,1853,2171.0050806112436,0.0,8176.61,64.82545913360438,44.562815479528886,5280,25.97784943221646,Paranavaí,paranaense,92001,96209,76.52,32172,2.2,14.15,45540.43,98.33,6.3,PARANAVAI,74.14067291001882
Piraquara,7116,1568,2005.222075604272,0.0,9049.46,54.70770095559303,45.905986509274875,5548,22.034851039910063,Piraquara,paranaense,118730,127433,522.94,14015,2.4,13.0,16015.58,99.19,0.0,PIRAQUARA,55.84110866102187
Colombo,6682,1522,1562.4356001197245,0.0,6658.19,68.15324753067944,42.985782699790484,5160,22.7776114935648,Colombo,paranaense,232212,241672,1175.28,58289,2.4,11.51,32853.49,98.49,0.8,COLOMBO,27.6490449865934
Francisco Beltrão,6541,1759,2335.612476685522,0.0,9049.46,68.30759822657086,42.910717015746826,4782,26.891912551597613,Francisco Beltrão,paranaense,96666,102312,131.5,41550,2.3,14.31,46814.84,98.78,70.1,FRANCISCO BELTRAO,63.93189459691923
Umuarama,6002,1429,2109.683413862046,0.0,7983.94,70.74308563812063,45.66661112962346,4573,23.80873042319227,Umuarama,paranaense,117095,123059,94.85,45179,2.1,13.13,43528.72,99.19,25.4,UMUARAMA,48.77335261947521
Fazenda Rio Grande,5960,1049,1208.6377466442952,0.0,6313.62,67.73489932885906,39.7741610738255,4911,17.600671140939596,Fazenda Rio Grande,paranaense,148873,165943,1275.93,28486,2.4,7.7,27805.32,99.08,0.6,FAZENDA RIO GRANDE,35.915947042056615
Jacarezinho,5941,1472,2499.255430062279,0.0,8694.86,58.744319138192225,44.500252482747015,4469,24.77697357347248,Jacarezinho,paranaense,40375,41493,67.01,13132,2.3,17.82,48470.43,100.0,26.6,JACAREZINHO,143.1807774805389
Campo Mourão,5673,1389,2274.9953816322936,0.0,8680.682000000003,65.83818085668959,44.384628944121275,4284,24.48439978847171,Campo Mourão,paranaense,99432,104122,132.64,38671,2.6,6.88,60261.36,99.15,14.5,CAMPO MOURAO,54.4841628090125
Irati,4988,858,1372.7953849238172,0.0,6326.926000000001,67.68243785084202,41.678564267094444,4130,17.201283079390535,Irati,paranaense,59250,61004,59.28,17104,2.1,7.79,47529.86,99.85,70.7,IRATI,81.76513015539965
Araucária,4608,983,1435.9458767361111,0.0,6658.19,69.22743055555556,41.377170138888886,3625,21.33246527777778,Araucária,paranaense,151666,162247,323.22,62589,3.2,9.46,224671.66,99.26,21.2,ARAUCARIA,28.40114146948788
Campo Largo,4603,1324,2218.1903128394524,0.0,8651.49,75.05974364544862,42.34694764284163,3279,28.76384966326309,Campo Largo,paranaense,136327,144504,109.63,42296,2.4,10.08,51863.48,99.35,42.7,CAMPO LARGO,31.853789514477107
Pinhais,4568,1060,1720.3448292469352,0.0,7384.68,66.83450087565674,44.601357267950966,3508,23.204903677758317,Pinhais,paranaense,127019,131255,2086.76,62598,2.5,9.11,77567.93,98.66,45.7,PINHAIS,34.8024837149061
Arapongas,4563,860,1343.2878807801883,0.0,6463.850000000001,74.40280517203594,43.62941047556432,3703,18.847249616480386,Arapongas,paranaense,119138,124838,311.7,49622,2.2,11.5,47973.54,96.34,53.3,ARAPONGAS,36.55137057626684
Pato Branco,4256,1216,2532.268529135338,0.0,8694.86,70.6062030075188,44.276785714285715,3040,28.57142857142857,Pato Branco,paranaense,91836,97821,170.35,45666,2.6,9.77,63350.93,98.67,71.4,PATO BRANCO,43.50804019586796
União da Vitória,4045,1063,2483.2012632880096,0.0,8998.609999999999,64.91965389369592,44.20914709517923,2982,26.279357231149568,União da Vitória,paranaense,55033,56560,76.43,19509,2.1,10.25,40400.71,98.74,94.0,UNIAO DA VITORIA,71.51697312588402
Castro,3983,620,1118.2327240773288,0.0,5659.46,71.90559879487823,41.246045694200355,3363,15.566156163695707,Castro,paranaense,73075,75644,28.87,22332,2.5,7.79,61820.06,98.92,2.7,CASTRO,52.6545396858971
Telêmaco Borba,3801,780,1579.4231675874769,0.0,6904.22,75.58537227045514,43.644041041831095,3021,20.520915548539858,Telêmaco Borba,paranaense,75042,77479,54.27,25652,3.0,10.97,85411.18,98.93,1.3,TELEMACO BORBA,49.05845454897456
Cambé,3663,743,1407.3011411411412,0.0,6658.19,71.7990717990718,43.30357630357631,2920,20.283920283920285,Cambé,paranaense,107208,110923,216.42,34736,2.4,10.93,63159.21,98.22,27.0,CAMBE,33.02290778287641
Sarandi,3649,656,1209.749599890381,0.0,5869.690000000003,72.51301726500411,43.32090983831186,2993,17.97752808988764,Sarandi,paranaense,118455,128106,1144.48,20707,2.1,12.89,20249.8,97.99,1.6,SARANDI,28.484224001998346
Cianorte,3504,832,1874.3313270547944,0.0,7738.740000000001,71.48972602739725,44.24172374429224,2672,23.74429223744292,Cianorte,paranaense,79527,82988,97.98,31986,2.0,12.28,50130.1,98.96,32.8,CIANORTE,42.22297199595122
Ivaiporã,3122,725,1989.2250864830237,0.0,8059.139000000002,72.67777065983344,43.2565663036515,2397,23.2222934016656,Ivaiporã,paranaense,32720,33566,74.88,9332,1.9,12.66,34910.34,99.92,44.7,IVAIPORA,93.010784722636
Cornélio Procópio,3114,799,2062.9384071933205,0.0,7849.208000000008,67.8548490687219,46.2893384714194,2315,25.658317276814387,Cornélio Procópio,paranaense,45206,45720,71.18,24609,1.8,10.92,52697.46,99.73,517.1,CORNELIO PROCOPIO,68.11023622047243
Almirante Tamandaré,3044,651,1501.360167542707,0.0,6661.7530000000015,66.03153745072274,42.576544021024965,2393,21.386333771353485,Almirante Tamandaré,paranaense,119825,125861,616.93,19526,2.0,6.57,18715.79,98.36,0.0,ALMIRANTE TAMANDARE,24.18541088979112
Lapa,2909,882,2377.1314369199035,0.0,8906.09,68.40838776211756,43.084221381918184,2027,30.31969749054658,Lapa,paranaense,45003,45878,21.49,11612,2.2,13.08,58830.87,99.21,8.7,LAPA,63.40729761541479
Palmas,2908,390,880.1472248968363,0.0,4660.73,76.68500687757908,41.49724896836314,2518,13.411279229711143,Palmas,paranaense,48247,50238,30.97,13803,2.1,17.65,35819.06,97.91,188.4,PALMAS,57.88446992316573
Marechal Cândido Rondon,2815,501,1270.939271758437,0.0,6158.83,74.03197158081704,41.63232682060391,2314,17.797513321492005,Marechal Cândido Rondon,paranaense,55836,58734,74.87,23593,2.4,9.43,70187.82,98.07,17.2,MARECHAL CANDIDO RONDON,47.927946334320836
Laranjeiras do Sul,2761,689,1831.3584462151393,0.0,7902.46,70.0108656283955,40.86200651937704,2072,24.954726548352046,Laranjeiras do Sul,paranaense,32227,33179,47.84,8320,2.0,14.52,38195.42,98.79,99.7,LARANJEIRAS DO SUL,83.21528677778113
Pitanga,2723,602,1629.1852699228793,0.0,7285.078000000003,72.78736687477047,40.981270657363204,2121,22.10796915167095,Pitanga,paranaense,33567,34527,20.18,8390,2.1,7.48,43017.52,98.85,226.0,PITANGA,78.86581515915081
Rolândia,2568,463,1322.712527258567,0.0,6658.19,74.76635514018692,42.03232087227414,2105,18.029595015576323,Rolândia,paranaense,71670,75818,156.14,30618,2.3,12.89,64220.79,99.03,52.0,ROLANDIA,33.87058482154633
Ibaiti,2521,465,1306.1215470051566,0.0,6238.41,75.64458548195161,42.2070606902023,2056,18.44506148353828,Ibaiti,paranaense,28830,29464,32.1,8927,1.8,16.91,42887.86,99.26,34.0,IBAITI,85.5620418137388
Dois Vizinhos,2496,493,1510.7674599358975,0.0,7289.005,77.88461538461539,40.817708333333336,2003,19.751602564102562,Dois Vizinhos,paranaense,44869,47589,107.18,20397,2.3,11.2,58150.9,99.79,6.4,DOIS VIZINHOS,52.44909537918427
Prudentópolis,2482,466,1315.923162771958,0.0,6088.708000000001,76.71232876712328,39.425060435132956,2016,18.77518130539887,Prudentópolis,paranaense,49393,50946,21.98,10722,2.0,9.38,38587.32,99.79,101.1,PRUDENTOPOLIS,48.718250696816234
Ibiporã,2405,399,1202.0535925155925,0.0,6042.225999999998,66.11226611226611,43.74885654885655,2006,16.590436590436592,Ibiporã,paranaense,51603,53276,173.31,18520,2.4,12.72,78248.45,99.41,47.1,IBIPORA,45.142277948794955
São Mateus do Sul,2403,431,1215.2814190595088,0.0,5949.750000000002,76.40449438202246,40.86225551394091,1972,17.93591344153142,São Mateus do Sul,paranaense,42366,43490,31.58,13077,2.2,9.86,45653.17,98.93,16.1,SAO MATEUS DO SUL,55.254081398022535
Assis Chateaubriand,2342,492,1496.060730145175,0.0,7275.29,79.59009393680616,44.70324508966695,1850,21.007685738684884,Assis Chateaubriand,paranaense,36808,38357,37.53,12090,2.0,13.73,55252.41,99.74,157.5,ASSIS CHATEAUBRIAND,61.057955523111815
Nova Laranjeiras,2322,258,670.8414254952627,0.0,2665.81,71.18863049095607,35.641257536606375,2064,11.11111111111111,Nova Laranjeiras,paranaense,12074,12298,9.98,1114,2.2,5.62,31337.75,99.4,0.0,NOVA LARANJEIRAS,188.8111888111888
Bandeirantes,2319,577,2059.8266494178524,0.0,7868.604000000012,74.04053471323846,43.717550668391546,1742,24.88141440275981,Bandeirantes,paranaense,31273,31747,70.25,9623,2.0,2.8,43559.41,99.78,188.6,BANDEIRANTES,73.04627208870129
Ortigueira,2306,340,898.0956157849089,0.0,4732.99,66.91240242844752,38.26322636600173,1966,14.744145706851691,Ortigueira,paranaense,24192,24706,9.96,7645,3.6,8.4,148490.0,99.52,0.0,ORTIGUEIRA,93.33765077309155
Guaíra,2289,352,1047.836033202272,0.0,5327.574000000001,69.68108344255133,40.84185233726518,1937,15.377894276976845,Guaíra,paranaense,32097,33058,56.94,7420,2.1,8.77,44828.06,99.39,18.2,GUAIRA,69.24193841127716
Santo Antônio da Platina,2265,485,1654.3322869757174,0.0,7581.22,71.9205298013245,43.61456953642384,1780,21.41280353200883,Santo Antônio da Platina,paranaense,44369,45628,61.5,13921,1.9,5.21,41422.7,99.04,158.1,SANTO ANTONIO DA PLATINA,49.64057157885509
Medianeira,2252,437,1403.3327575488456,0.0,6787.573,78.68561278863233,41.509325044404974,1815,19.404973357015987,Medianeira,paranaense,54369,57910,165.39,26172,2.4,9.89,55318.22,90.75,82.3,MEDIANEIRA,38.887929545847
Pinhão,2234,292,914.2790823634735,0.0,4837.153000000004,76.00716204118174,39.10384959713518,1942,13.070725156669653,Pinhão,paranaense,29886,30451,14.93,4227,2.2,20.28,61938.97,98.19,0.0,PINHAO,73.36376473679026
Palmeira,2224,383,1202.0385926258994,0.0,5774.869000000003,75.04496402877699,39.91546762589928,1841,17.221223021582734,Palmeira,paranaense,33855,34948,23.03,10404,2.2,14.05,65573.86,98.41,28.7,PALMEIRA,63.63740414329862
Quedas do Iguaçu,2179,364,1236.8156998623222,0.0,6658.19,79.30243230839835,40.16521340064249,1815,16.704910509407984,Quedas do Iguaçu,paranaense,30738,31423,37.42,7201,2.0,15.45,62721.88,98.28,191.1,QUEDAS DO IGUACU,69.34411100149572
Arapoti,2178,259,782.0025895316804,0.0,3622.2779999999975,67.44719926538109,42.029384756657485,1919,11.891643709825528,Arapoti,paranaense,25777,26325,18.98,8243,2.4,19.83,63347.91,99.38,34.2,ARAPOTI,82.73504273504273
Manoel Ribas,2045,292,890.0416185819071,0.0,4161.38,71.19804400977995,37.164303178484104,1753,14.27872860635697,Manoel Ribas,paranaense,14240,14675,24.93,2877,2.3,14.02,46081.2,99.95,27.4,MANOEL RIBAS,139.3526405451448
Campina Grande do Sul,2024,378,1167.838685770751,0.0,5471.08,70.40513833992095,41.423418972332016,1646,18.675889328063242,Campina Grande do Sul,paranaense,47825,50600,88.69,15219,2.3,11.22,60047.41,99.44,152.1,CAMPINA GRANDE DO SUL,40.0
São Miguel do Iguaçu,1959,339,1122.9140939254721,0.0,5210.622000000002,79.07095456865748,38.59571209800919,1620,17.304747320061256,São Miguel do Iguaçu,paranaense,29122,30416,34.18,8957,2.2,4.89,50972.2,98.88,9.9,SAO MIGUEL DO IGUACU,64.40689110994214
Palotina,1933,358,1348.43975685463,0.0,6658.19,71.28815312984997,41.92033109156751,1575,18.520434557682357,Palotina,paranaense,35011,37039,53.76,21558,2.4,6.02,105626.67,98.98,232.1,PALOTINA,52.18823402359675
Jaguariaíva,1843,296,1176.2319316332068,0.0,5748.423999999998,76.66847531199132,42.74877916440586,1547,16.0607704829083,Jaguariaíva,paranaense,35141,36384,24.18,12023,2.2,8.37,58693.11,100.0,5.5,JAGUARIAIVA,50.65413368513633
Goioerê,1810,387,1607.5048397790054,0.0,7302.72,79.61325966850829,45.56132596685083,1423,21.38121546961326,Goioerê,paranaense,28437,30025,50.41,7462,2.1,15.72,46969.32,99.0,31.1,GOIOERE,60.283097418817654
Guaratuba,1758,470,1951.303196814562,0.0,8070.3,68.82821387940842,46.33219567690558,1288,26.7349260523322,Guaratuba,paranaense,42062,44913,31.7,10562,2.1,19.05,29027.37,98.46,2.3,GUARATUBA,39.14234186093113
Paiçandu,1746,309,1205.302560137457,0.0,6022.83,75.14318442153494,42.52577319587629,1437,17.697594501718214,Paiçandu,paranaense,45962,48695,268.19,10017,1.7,11.86,29205.9,99.64,4.1,PAICANDU,35.85583735496457
Cruzeiro do Oeste,1696,324,1467.104658018868,0.0,7187.885,59.84669811320755,45.23525943396226,1372,19.10377358490566,Cruzeiro do Oeste,paranaense,23831,24859,30.71,5284,1.9,26.92,45708.09,100.0,20.3,CRUZEIRO DO OESTE,68.2247878032101
Chopinzinho,1695,318,1261.436890855457,0.0,6101.218000000007,80.17699115044248,39.63657817109144,1377,18.761061946902654,Chopinzinho,paranaense,21085,21604,21.97,7295,2.3,22.15,56739.86,98.89,92.8,CHOPINZINHO,78.45769301981115
Clevelândia,1686,264,1132.2577461447213,0.0,6187.395,79.35943060498221,42.499406880189795,1422,15.658362989323843,Clevelândia,paranaense,15070,14833,21.42,3807,1.9,14.29,60754.81,88.72,801.3,CLEVELANDIA,113.66547562866582
Rio Bonito do Iguaçu,1654,177,652.669800483676,0.0,1417.2250000000054,74.42563482466747,37.49758162031439,1477,10.701330108827085,Rio Bonito do Iguaçu,paranaense,13929,14297,20.44,1573,2.1,10.36,36921.86,99.56,0.0,RIO BONITO DO IGUACU,115.688606001259
São Jerônimo da Serra,1652,192,653.7556234866828,0.0,2267.74,75.60532687651332,37.8910411622276,1460,11.62227602905569,São Jerônimo da Serra,paranaense,10830,10884,13.15,1262,2.2,24.69,32253.51,98.72,0.0,SAO JERONIMO DA SERRA,151.7824329290702
Capanema,1649,254,1032.9663493026076,0.0,6165.142000000002,78.89630078835658,39.619163129169195,1395,15.403274711946635,Capanema,paranaense,20481,21088,48.88,6415,2.1,15.33,77763.81,99.82,451.9,CAPANEMA,78.19613050075873
Cambará,1637,304,1376.8431887599265,0.0,6505.056000000003,70.31154551007941,43.814294441050706,1333,18.57055589492975,Cambará,paranaense,23212,23393,63.39,6008,2.1,12.35,42457.02,100.0,59.8,CAMBARA,69.97819860642072
Reserva,1600,225,981.1216562499999,0.0,5101.116,78.875,37.644375,1375,14.0625,Reserva,paranaense,24573,24878,15.02,4623,2.0,8.2,31106.12,98.0,0.0,RESERVA,64.31385159578744
Marialva,1584,325,1364.5372095959597,0.0,6515.036000000002,72.85353535353535,43.14078282828283,1259,20.517676767676768,Marialva,paranaense,41851,44749,88.0,13384,2.5,12.22,70837.51,99.28,0.0,MARIALVA,35.3974390489173
Rio Branco do Sul,1530,338,1588.3933071895424,0.0,6979.799000000005,76.27450980392156,40.54117647058823,1192,22.091503267973856,Rio Branco do Sul,paranaense,37558,40308,46.29,7828,2.3,7.55,49279.13,94.64,15.3,RIO BRANCO DO SUL,37.9577255135457
Rio Negro,1527,424,1920.7020956123117,0.0,7752.146000000003,66.27373935821873,44.0150622134905,1103,27.76686313032089,Rio Negro,paranaense,31324,31951,51.85,9634,2.3,14.45,46487.19,99.1,43.8,RIO NEGRO,47.79193139494851
Santo Antônio do Sudoeste,1464,209,948.5693784153005,0.0,4970.546000000004,76.70765027322405,39.290983606557376,1255,14.275956284153004,Santo Antônio do Sudoeste,paranaense,23673,24980,72.69,5794,1.8,14.81,33999.34,98.67,681.7,SANTO ANTONIO DO SUDOESTE,58.60688550840673
Antonina,1453,242,1195.8131727460427,0.0,5506.0779999999995,73.91603578802479,42.92842395044735,1211,16.655196145905023,Antonina,paranaense,18091,18140,20.29,3709,2.2,20.62,55368.68,99.12,11.0,ANTONINA,80.09922822491731
Mangueirinha,1446,206,956.9483609958506,0.0,4916.66,83.40248962655602,39.34993084370678,1240,14.246196403872752,Mangueirinha,paranaense,16603,16737,15.73,4157,2.3,10.49,112613.05,98.9,71.6,MANGUEIRINHA,86.39541136404372
Wenceslau Braz,1443,288,1469.3899584199585,0.0,7053.843999999996,74.2896742896743,42.577269577269576,1155,19.95841995841996,Wenceslau Braz,paranaense,19188,19398,48.22,4866,1.9,22.64,39986.24,100.0,92.6,WENCESLAU BRAZ,74.38911227961646
Cândido de Abreu,1437,171,711.554453723034,0.0,3329.1,74.80862908837857,38.290883785664576,1266,11.899791231732777,Cândido de Abreu,paranaense,15244,15081,10.09,1862,2.1,10.42,31175.22,98.78,39.3,CANDIDO DE ABREU,95.28545852397056
Assaí,1409,240,1157.1411426543648,0.0,6338.592000000003,75.1596877217885,40.3541518807665,1169,17.033356990773598,Assaí,paranaense,13797,13477,31.33,3417,1.8,,46183.5,97.56,7.3,ASSAI,104.54849002003414
Guaraqueçaba,1388,216,941.0022910662824,0.0,4814.607999999999,63.32853025936599,40.935158501440924,1172,15.561959654178676,Guaraqueçaba,paranaense,7430,7446,3.69,699,1.7,25.97,19660.96,98.38,0.0,GUARAQUECABA,186.4088100993822
Matinhos,1354,406,1984.452695716396,0.0,8041.49,71.04874446085671,45.38921713441654,948,29.98522895125554,Matinhos,paranaense,39259,42063,332.99,9878,2.1,24.67,29246.91,98.92,0.0,MATINHOS,32.18981052231177
Sengés,1334,190,1022.4149025487256,0.0,5186.651000000003,73.08845577211395,41.31559220389805,1144,14.24287856071964,Sengés,paranaense,17270,17256,11.98,5983,2.1,11.72,40007.2,99.34,0.0,SENGES,77.3064441353732
Mandaguari,1329,285,1578.5628367193376,0.0,7259.8,77.95334838224228,44.167795334838225,1044,21.44469525959368,Mandaguari,paranaense,36716,38313,109.33,16829,2.2,2.21,79434.03,98.39,0.0,MANDAGUARI,34.687964920523065
Turvo,1323,166,834.2505517762661,0.0,4557.2339999999995,76.5684051398337,37.29402872260015,1157,12.54724111866969,Turvo,paranaense,14231,14101,15.16,2907,2.3,14.49,49038.74,99.1,380.8,TURVO,93.82313311112688
Imbituva,1303,200,1100.3013123561013,0.0,5643.373999999996,75.82501918649271,38.58096699923254,1103,15.349194167306216,Imbituva,paranaense,29924,30849,39.55,9871,1.8,9.43,50241.2,99.12,0.0,IMBITUVA,42.23799799021038
Nova Esperança,1286,218,1208.0465552099533,0.0,6030.655000000001,78.0715396578538,42.41368584758943,1068,16.951788491446347,Nova Esperança,paranaense,26585,27142,66.2,7069,2.0,3.44,47150.58,98.0,3.7,NOVA ESPERANCA,47.380443592955565
Piraí do Sul,1271,210,1048.8849881982692,0.0,5079.49,76.31785995279307,42.26278520849725,1061,16.522423288749017,Piraí do Sul,paranaense,23651,23977,17.58,5731,2.6,6.76,60939.33,99.41,12.5,PIRAI DO SUL,53.00913375318013
Pontal do Paraná,1257,308,1744.7730867143994,0.0,7621.868000000001,69.37151949085123,45.35481304693715,949,24.502784407319016,Pontal do Paraná,paranaense,30425,33131,151.81,6928,2.0,19.89,26613.26,94.03,0.0,PONTAL DO PARANA,37.94029760647128
