institution,rh_records,active_share_pct,average_remuneration_brl,median_remuneration_brl,female_share_pct,avg_age
SECRETARIA DA EDUCAÇÃO,460929,20.778688257844482,1431.0058077274375,0.0,75.73335589646128,42.20059358640305
GOVERNO DO ESTADO,182503,0.0,6087.554697621409,4490.81,67.21040202078869,71.3944415046082
Secretaria da Segurança Pública e Administração Penitenciária,56734,49.584023689498366,5816.44113882328,3500.0,19.085557161490463,44.0959935134754
SECRETARIA DE ESTADO DA EDUCAÇÃO E DO ESPORTE,50272,0.0,3.7706478755569703,0.0,76.00453532781668,43.07089433481859
Secretaria da Saúde,18578,36.50554419205512,3971.071004413823,0.0,64.6086769297018,51.09069867585316
UNIVERSIDADE ESTADUAL DE LONDRINA,11874,37.74633653360283,5233.80872915614,0.0,57.09954522486104,45.963365336028296
UNIVERSIDADE ESTADUAL DE MARINGA,6498,0.9695290858725761,238.49912280701756,0.0,55.493998153277936,41.36241920590951
UNIVERSIDADE ESTADUAL DO OESTE DO PARANA,5820,0.8934707903780068,117.74035738831616,0.0,64.26116838487972,37.63865979381443
CASA CIVIL,5513,18.120805369127517,1680.867611101034,0.0,43.479049519317975,45.41919100308362
DEPARTAMENTO DE TRÂNSITO DO PARANÁ,5460,19.871794871794872,1921.302023809524,0.0,44.26739926739926,45.415018315018315
UNIVERSIDADE ESTADUAL DO CENTRO-OESTE,4850,35.340206185567006,4545.627663917526,0.0,56.74226804123711,40.756344130389934
UNIVERSIDADE ESTADUAL DE PONTA GROSSA,4574,42.17315260166157,5445.611517271535,0.0,53.93528640139922,45.474202011368604
UNIVERSIDADE ESTADUAL DE MARINGÁ,4060,96.47783251231527,14046.516871921182,11587.575,49.28571428571429,50.7435960591133
DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DO PARANÁ,3898,19.061056952283224,1860.3784915341203,0.0,22.88353001539251,56.94202154951257
UNIVERSIDADE ESTADUAL DO OESTE DO PARANÁ,3842,90.68193649141072,11803.132207183759,8976.91,64.54971369078605,46.64705882352941
SECRETARIA DA ADMINISTRAÇÃO E DA PREVIDÊNCIA,3209,17.762542848239327,1849.1793767528825,0.0,58.64755375506389,49.92348532167395
UNIVERSIDADE ESTADUAL DO NORTE DO PARANA,2998,28.819212808539024,3024.089349566377,0.0,50.433622414943294,41.97298198799199
"SECRETARIA DA JUSTICA, TRABALHO E DIREITOS HUMANOS",2969,0.0,0.0,0.0,27.787133715055575,39.90906028965982
SECRETARIA DA SAÚDE,2643,0.0,1336.379428679531,1621.0,45.213772228528185,66.99242997728993
RECEITA ESTADUAL DO PARANÁ,2577,35.46759798214978,12399.053810632518,0.0,18.199456732634847,57.52192471866511
INSTITUTO DE DESENVOLVIMENTO RURAL DO PARANÁ IAPAR-EMATER,2423,63.80520016508461,11151.644919521255,8257.44,26.372265786215436,56.834089971110195
SECRETARIA DE ESTADO DA JUSTIÇA E CIDADANIA,2184,72.98534798534799,7183.858882783883,8542.665,37.5,48.17261904761905
INSTITUTO AGUA E TERRA,2115,50.638297872340424,6541.273754137116,4799.17,39.19621749408984,48.388179669030734
SECRETARIA DA FAZENDA,2054,12.755598831548198,1411.4498247322297,0.0,49.123661148977604,45.57789678675755
PROCURADORIA GERAL DO ESTADO,1775,31.887323943661972,9832.005442253521,0.0,51.66197183098592,41.48957746478873
COMPANHIA DE TECNOLOGIA DA INFORMAÇÃO E COMUNICAÇÃO DO PARANÁ,1638,61.904761904761905,10715.502094017094,8258.25,26.923076923076923,48.30891330891331
"SECRETARIA DE ESTADO DA JUSTIÇA, FAMILIA E TRABALHO",1532,0.0,0.6510378590078328,0.0,55.09138381201044,47.465404699738905
SECRETARIA DA AGRICULTURA E ABASTECIMENTO,1504,25.598404255319153,3143.797533244681,0.0,34.109042553191486,52.767952127659576
COLÉGIO ESTADUAL DO PARANÁ,1343,30.15636634400596,2281.294713328369,0.0,65.2271034996277,48.48771407297096
TRIBUNAL DE JUSTIÇA DO PARANÁ,1316,0.0,12141.597226443768,8871.985,72.72036474164135,65.71174652241113
UNIVERSIDADE ESTADUAL DO PARANÁ,1254,30.701754385964914,1342.7728229665072,0.0,55.183413078149925,46.37240829346093
PARANÁ EDUCAÇÃO,1212,18.23432343234323,832.0678877887789,0.0,78.13531353135313,54.382013201320134
"SECRETARIA DA JUSTIÇA, TRABALHO E DIREITOS HUMANOS",1174,0.0,0.0,0.0,51.0221465076661,45.50425894378194
AGÊNCIA DE DEFESA AGROPECUÁRIA DO PARANÁ,1102,63.2486388384755,8416.003920145191,9022.22,32.94010889292196,48.66515426497278
