city_original,city_key,city_official,city_match_status,records
Curitiba,CURITIBA,Curitiba,matched,123113
Londrina,LONDRINA,Londrina,matched,35948
Cascavel,CASCAVEL,Cascavel,matched,24590
Maringá,MARINGA,Maringá,matched,24299
Ponta Grossa,PONTA GROSSA,Ponta Grossa,matched,20520
Guarapuava,GUARAPUAVA,Guarapuava,matched,12780
Foz do Iguaçu,FOZ DO IGUACU,Foz do Iguaçu,matched,12489
São José dos Pinhais,SAO JOSE DOS PINHAIS,São José dos Pinhais,matched,10595
Paranaguá,PARANAGUA,Paranaguá,matched,10031
Toledo,TOLEDO,Toledo,matched,7771
Apucarana,APUCARANA,Apucarana,matched,7180
Paranavaí,PARANAVAI,Paranavaí,matched,7133
Piraquara,PIRAQUARA,Piraquara,matched,7116
Colombo,COLOMBO,Colombo,matched,6682
Francisco Beltrão,FRANCISCO BELTRAO,Francisco Beltrão,matched,6541
Umuarama,UMUARAMA,Umuarama,matched,6002
Fazenda Rio Grande,FAZENDA RIO GRANDE,Fazenda Rio Grande,matched,5960
Jacarezinho,JACAREZINHO,Jacarezinho,matched,5941
Campo Mourão,CAMPO MOURAO,Campo Mourão,matched,5673
Irati,IRATI,Irati,matched,4988
Araucária,ARAUCARIA,Araucária,matched,4608
Campo Largo,CAMPO LARGO,Campo Largo,matched,4603
Pinhais,PINHAIS,Pinhais,matched,4568
Arapongas,ARAPONGAS,Arapongas,matched,4563
Pato Branco,PATO BRANCO,Pato Branco,matched,4256
União da Vitória,UNIAO DA VITORIA,União da Vitória,matched,4045
Castro,CASTRO,Castro,matched,3983
Telêmaco Borba,TELEMACO BORBA,Telêmaco Borba,matched,3801
Cambé,CAMBE,Cambé,matched,3663
Sarandi,SARANDI,Sarandi,matched,3649
Cianorte,CIANORTE,Cianorte,matched,3504
Ivaiporã,IVAIPORA,Ivaiporã,matched,3122
Cornélio Procópio,CORNELIO PROCOPIO,Cornélio Procópio,matched,3114
Almirante Tamandaré,ALMIRANTE TAMANDARE,Almirante Tamandaré,matched,3044
Lapa,LAPA,Lapa,matched,2909
Palmas,PALMAS,Palmas,matched,2908
Marechal Cândido Rondon,MARECHAL CANDIDO RONDON,Marechal Cândido Rondon,matched,2815
Laranjeiras do Sul,LARANJEIRAS DO SUL,Laranjeiras do Sul,matched,2761
Pitanga,PITANGA,Pitanga,matched,2723
Rolândia,ROLANDIA,Rolândia,matched,2568
Ibaiti,IBAITI,Ibaiti,matched,2521
Dois Vizinhos,DOIS VIZINHOS,Dois Vizinhos,matched,2496
Prudentópolis,PRUDENTOPOLIS,Prudentópolis,matched,2482
Ibiporã,IBIPORA,Ibiporã,matched,2405
São Mateus do Sul,SAO MATEUS DO SUL,São Mateus do Sul,matched,2403
Assis Chateaubriand,ASSIS CHATEAUBRIAND,Assis Chateaubriand,matched,2342
Nova Laranjeiras,NOVA LARANJEIRAS,Nova Laranjeiras,matched,2322
Bandeirantes,BANDEIRANTES,Bandeirantes,matched,2319
Ortigueira,ORTIGUEIRA,Ortigueira,matched,2306
Guaíra,GUAIRA,Guaíra,matched,2289
Santo Antônio da Platina,SANTO ANTONIO DA PLATINA,Santo Antônio da Platina,matched,2265
Medianeira,MEDIANEIRA,Medianeira,matched,2252
Pinhão,PINHAO,Pinhão,matched,2234
Palmeira,PALMEIRA,Palmeira,matched,2224
Quedas do Iguaçu,QUEDAS DO IGUACU,Quedas do Iguaçu,matched,2179
Arapoti,ARAPOTI,Arapoti,matched,2178
Manoel Ribas,MANOEL RIBAS,Manoel Ribas,matched,2045
Campina Grande do Sul,CAMPINA GRANDE DO SUL,Campina Grande do Sul,matched,2024
São Miguel do Iguaçu,SAO MIGUEL DO IGUACU,São Miguel do Iguaçu,matched,1959
Palotina,PALOTINA,Palotina,matched,1933
Jaguariaíva,JAGUARIAIVA,Jaguariaíva,matched,1843
Goioerê,GOIOERE,Goioerê,matched,1810
Guaratuba,GUARATUBA,Guaratuba,matched,1758
Paiçandu,PAICANDU,Paiçandu,matched,1746
Cruzeiro do Oeste,CRUZEIRO DO OESTE,Cruzeiro do Oeste,matched,1696
Chopinzinho,CHOPINZINHO,Chopinzinho,matched,1695
Clevelândia,CLEVELANDIA,Clevelândia,matched,1686
Rio Bonito do Iguaçu,RIO BONITO DO IGUACU,Rio Bonito do Iguaçu,matched,1654
São Jerônimo da Serra,SAO JERONIMO DA SERRA,São Jerônimo da Serra,matched,1652
Capanema,CAPANEMA,Capanema,matched,1649
Cambará,CAMBARA,Cambará,matched,1637
Reserva,RESERVA,Reserva,matched,1600
Marialva,MARIALVA,Marialva,matched,1584
Rio Branco do Sul,RIO BRANCO DO SUL,Rio Branco do Sul,matched,1530
Rio Negro,RIO NEGRO,Rio Negro,matched,1527
Santo Antônio do Sudoeste,SANTO ANTONIO DO SUDOESTE,Santo Antônio do Sudoeste,matched,1464
Antonina,ANTONINA,Antonina,matched,1453
Mangueirinha,MANGUEIRINHA,Mangueirinha,matched,1446
Wenceslau Braz,WENCESLAU BRAZ,Wenceslau Braz,matched,1443
Cândido de Abreu,CANDIDO DE ABREU,Cândido de Abreu,matched,1437
Assaí,ASSAI,Assaí,matched,1409
Guaraqueçaba,GUARAQUECABA,Guaraqueçaba,matched,1388
Matinhos,MATINHOS,Matinhos,matched,1354
Sengés,SENGES,Sengés,matched,1334
Mandaguari,MANDAGUARI,Mandaguari,matched,1329
Turvo,TURVO,Turvo,matched,1323
Imbituva,IMBITUVA,Imbituva,matched,1303
Nova Esperança,NOVA ESPERANCA,Nova Esperança,matched,1286
Piraí do Sul,PIRAI DO SUL,Piraí do Sul,matched,1271
Pontal do Paraná,PONTAL DO PARANA,Pontal do Paraná,matched,1257
Carambeí,CARAMBEI,Carambeí,matched,1256
Tibagi,TIBAGI,Tibagi,matched,1253
Colorado,COLORADO,Colorado,matched,1230
Terra Roxa,TERRA ROXA,Terra Roxa,matched,1226
Jandaia do Sul,JANDAIA DO SUL,Jandaia do Sul,matched,1220
Porecatu,PORECATU,Porecatu,matched,1219
Santa Helena,SANTA HELENA,Santa Helena,matched,1192
Ubiratã,UBIRATA,Ubiratã,matched,1189
Corbélia,CORBELIA,Corbélia,matched,1188
Loanda,LOANDA,Loanda,matched,1184
Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU,Santa Terezinha de Itaipu,matched,1171
Mandirituba,MANDIRITUBA,Mandirituba,matched,1160
Mandaguaçu,MANDAGUACU,Mandaguaçu,matched,1141
Astorga,ASTORGA,Astorga,matched,1127
Siqueira Campos,SIQUEIRA CAMPOS,Siqueira Campos,matched,1126
Altônia,ALTONIA,Altônia,matched,1125
Ampére,AMPERE,Ampére,matched,1113
Coronel Vivida,CORONEL VIVIDA,Coronel Vivida,matched,1086
Matelândia,MATELANDIA,Matelândia,matched,1080
Candói,CANDOI,Candói,matched,1064
Bituruna,BITURUNA,Bituruna,matched,1061
Jardim Alegre,JARDIM ALEGRE,Jardim Alegre,matched,1060
Guaraniaçu,GUARANIACU,Guaraniaçu,matched,1052
Itaperuçu,ITAPERUCU,Itaperuçu,matched,1048
Andirá,ANDIRA,Andirá,matched,1032
Realeza,REALEZA,Realeza,matched,1024
Campina da Lagoa,CAMPINA DA LAGOA,Campina da Lagoa,matched,1023
Palmital,PALMITAL,Palmital,matched,1008
Faxinal,FAXINAL,Faxinal,matched,998
Capitão Leônidas Marques,CAPITAO LEONIDAS MARQUES,Capitão Leônidas Marques,matched,988
Tamarana,TAMARANA,Tamarana,matched,973
Cafelândia,CAFELANDIA,Cafelândia,matched,955
Três Barras do Paraná,TRES BARRAS DO PARANA,Três Barras do Paraná,matched,954
Cantagalo,CANTAGALO,Cantagalo,matched,943
Santa Izabel do Oeste,SANTA IZABEL DO OESTE,Santa Izabel do Oeste,matched,943
Ipiranga,IPIRANGA,Ipiranga,matched,941
Santa Maria do Oeste,SANTA MARIA DO OESTE,Santa Maria do Oeste,matched,930
Iporã,IPORA,Iporã,matched,926
Campo Magro,CAMPO MAGRO,Campo Magro,matched,896
Inácio Martins,INACIO MARTINS,Inácio Martins,matched,892
Planalto,PLANALTO,Planalto,matched,879
São João do Triunfo,SAO JOAO DO TRIUNFO,São João do Triunfo,matched,862
Cruz Machado,CRUZ MACHADO,Cruz Machado,matched,861
Ivaí,IVAI,Ivaí,matched,859
Quatro Barras,QUATRO BARRAS,Quatro Barras,matched,857
