city_official,rh_records,active_share_pct,average_remuneration_brl,median_remuneration_brl,gdp_per_capita_brl,population_estimated
Curitiba,123113,22.384313598076563,2391.2633918171405,0.0,67691.3,1830795
Londrina,35948,29.264493156782017,3292.1662086903307,0.0,50362.05,581382
Cascavel,24590,29.890199267995122,3190.6506209841396,0.0,55176.33,368195
Maringá,24299,31.170006996172685,3842.529749372402,0.0,67903.99,429660
Ponta Grossa,20520,28.84990253411306,2877.9084390838207,0.0,71387.82,375632
Guarapuava,12780,29.765258215962444,3110.8794381846633,0.0,54170.74,189630
Foz do Iguaçu,12489,22.379694130835134,1748.2426159019938,0.0,59468.67,297352
São José dos Pinhais,10595,21.680037753657384,1620.6035431807456,0.0,103019.05,349880
Paranaguá,10031,27.205662446416113,2856.431070680889,0.0,104860.51,150104
Toledo,7771,21.36147214000772,1689.7528979539313,0.0,63192.47,160701
Apucarana,7180,21.977715877437326,2033.837160167131,0.0,37146.42,134910
Paranavaí,7133,25.97784943221646,2171.0050806112436,0.0,45540.43,96209
Piraquara,7116,22.034851039910063,2005.222075604272,0.0,16015.58,127433
Colombo,6682,22.7776114935648,1562.4356001197245,0.0,32853.49,241672
Francisco Beltrão,6541,26.891912551597613,2335.612476685522,0.0,46814.84,102312
Umuarama,6002,23.80873042319227,2109.683413862046,0.0,43528.72,123059
Fazenda Rio Grande,5960,17.600671140939596,1208.6377466442952,0.0,27805.32,165943
Jacarezinho,5941,24.77697357347248,2499.255430062279,0.0,48470.43,41493
Campo Mourão,5673,24.48439978847171,2274.9953816322936,0.0,60261.36,104122
Irati,4988,17.201283079390535,1372.7953849238172,0.0,47529.86,61004
